"","Resultado_partida","P_time1","P_time2","NV_time1","NV_time2","NE_time1","NE_time2","ND_time1","ND_time2","NVC_time1","NEC_time1","NDC_time1","NVF_time1","NEF_time1","NDF_time1","NVC_time2","NEC_time2","NDC_time2","NVF_time2","NEF_time2","NDF_time2","GF_time1","GF_time2","GC_time1","GC_time2","SG_time1","SG_time2"
"110",1,8,14,2,4,2,2,6,4,1,2,1,1,0,5,4,0,1,0,2,3,5,12,13,13,-8,-1
"111",1,15,16,4,4,3,4,4,3,3,1,1,1,2,3,2,2,2,2,2,1,12,13,11,12,1,1
"112",0,16,20,5,5,1,5,5,1,5,0,1,0,1,4,3,2,0,2,3,1,15,18,22,8,-7,10
"113",2,17,11,5,3,2,2,4,6,3,1,2,2,1,2,3,1,1,0,1,5,10,10,8,11,2,-1
"114",2,29,15,9,4,2,3,0,4,5,1,0,4,1,0,4,0,1,0,3,3,19,12,5,13,14,-1
"115",2,14,19,4,6,2,1,5,4,3,1,1,1,1,4,4,1,0,2,0,4,11,15,12,9,-1,6
"116",0,16,15,4,4,4,3,3,4,3,3,0,1,1,3,3,2,1,1,1,3,11,13,10,16,1,-3
"117",0,22,9,7,2,1,3,3,6,4,0,1,3,1,2,1,3,1,1,0,5,23,5,12,13,11,-8
"118",1,11,16,3,4,2,4,6,3,3,0,2,0,2,4,2,3,1,2,1,2,13,20,14,19,-1,1
"119",0,7,9,2,2,1,3,8,6,2,1,3,0,0,5,1,2,3,1,1,3,8,9,18,15,-10,-6
"120",1,14,14,4,4,2,2,5,5,3,0,3,1,2,2,2,1,2,2,1,3,17,11,22,15,-5,-4
"121",0,17,16,4,4,5,4,3,4,2,3,1,2,2,2,3,2,1,1,2,3,21,13,20,12,1,1
"122",0,23,22,6,7,5,1,1,4,3,2,0,3,3,1,4,0,2,3,1,2,19,23,8,14,11,9
